b'time,Year,Month,Day,Hour,latitude,longitude,country,state,county,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-02-28T18:54:32.000Z,2001,2,28,18,47.15,-122.73,us,Washington,Pierce County,51.9,6.8,mwc,,,,,gcmt,gcmtc022801l,2016-11-10T00:27:19.470Z,"Puget Sound region, Washington",earthquake,,,,,automatic,gcmt,gcmt
2001-02-28T18:54:32.830Z,2001,2,28,18,47.149,-122.7266667,us,Washington,Pierce County,51.798,6.8,md,67,31,,0.2,uw,uw10530748,2016-11-09T04:12:09.544Z,"Puget Sound region, Washington",earthquake,0.517,0.92,0.03,0,reviewed,uw,uw
2014-03-10T05:18:13.400Z,2014,3,10,5,40.8287,-125.1338,us,California,Humboldt County,16.6,6.8,Mw,,230.4,0.65577016,0.15,nc,nc72182046,2016-09-07T13:17:24.322Z,"78km WNW of Ferndale, California",earthquake,0.6,1.9,,5,reviewed,nc,nc
2010-01-10T00:27:39.320Z,2010,1,10,0,40.652,-124.692,us,California,Humboldt County,29.3,6.5,mwc,330,31.4,,,us,usp000h5we,2016-11-10T02:22:32.974Z,offshore Northern California,earthquake,,,,,reviewed,nc,us
2003-12-22T19:15:55.900Z,2003,12,22,19,35.7188333,-121.1571667,us,California,San Luis Obispo County,11.534,6.48,mw,9,258,,0.14,ci,ci9966449,2016-11-10T00:55:42.604Z,"18km NNW of Cambria, CA",earthquake,0.88,9.55,,6,reviewed,ci,ci
2008-02-21T14:16:02.821Z,2008,2,21,14,41.1444,-114.8721,us,Nevada,Elko County,7.9,6.2,ml,18,95.21,0.318,0.1855,nn,nn00234425,2016-11-10T01:52:07.558Z,"8km ENE of Wells, Nevada",earthquake,1.61,1.9,0.15,4,reviewed,nn,nn
2014-08-24T10:20:44.070Z,2014,8,24,10,38.2151667,-122.3123333,us,California,Napa County,11.12,6.02,mw,369,28,0.03579,0.18,nc,nc72282711,2016-08-09T16:24:31.095Z,South Napa Earthquake,earthquake,0.11,0.15,,0,reviewed,nc,nc
2004-09-28T17:15:24.000Z,2004,9,28,17,35.82,-120.36,us,California,Monterey County,8.8,6,mwc,,,,,gcmt,gcmtc092804h,2016-11-10T00:47:10.157Z,Central California,earthquake,,,,,automatic,gcmt,gcmt
2004-09-28T17:15:24.200Z,2004,9,28,17,35.8182,-120.366,us,California,Monterey County,8.6,6,Mw,,25.2,0.01796631,0.04,nc,nc30228270,2016-11-09T05:19:22.934Z,"18km N of Shandon, California",earthquake,0.1,0.3,,4,reviewed,nc,nc
2010-02-04T20:20:18.530Z,2010,2,4,20,40.431,-124.929,us,California,Humboldt County,6.929,6,mh,7,341,3.68,0.56,ci,ci14585316,2016-11-10T02:23:43.836Z,"58km WSW of Ferndale, CA",earthquake,99,31.61,,0,reviewed,ci,ci
2011-08-23T17:51:04.250Z,2011,8,23,17,37.9096667,-77.9363333,us,Virginia,Louisa County,0.02,5.8,mw,23,80,,0.48,se,se609212,2016-08-23T15:14:05.662Z,"14km SSE of Louisa, Virginia",earthquake,1.9,2.4,,0,reviewed,se,se
2016-09-03T12:02:44.400Z,2016,9,3,12,36.4251,-96.9291,us,Oklahoma,Pawnee County,5.557,5.8,mww,,69,,0.7,us,us10006jxs,2016-11-21T05:17:08.249Z,"14km NW of Pawnee, Oklahoma",earthquake,1.2,6.1,,,reviewed,tul,us
2015-01-28T21:08:53.710Z,2015,1,28,21,40.3178333,-124.6066667,us,California,Humboldt County,17.17,5.73,mw,52,230,0.2465,0.13,nc,nc72387946,2016-11-10T21:46:12.327Z,"40km SW of Ferndale, California",earthquake,0.54,0.33,,14,reviewed,nc,nc
2010-06-15T04:26:58.240Z,2010,6,15,4,32.705,-115.9113333,us,California,Imperial County,8.756,5.72,mw,45,71,0.05832,0.2,ci,ci14745580,2016-11-10T02:29:35.684Z,"8km ESE of Ocotillo, CA",earthquake,0.41,0.83,,7,reviewed,ci,ci
2011-11-06T03:53:10.000Z,2011,11,6,3,35.532,-96.765,us,Oklahoma,Lincoln County,5.2,5.7,mww,474,17.1,,,us,usp000jadn,2016-09-08T19:32:13.038Z,Oklahoma,earthquake,,,,,reviewed,tul,us
2013-05-24T03:47:08.100Z,2013,5,24,3,40.1918,-121.0595,us,California,Plumas County,9.7,5.7,Mw,,68.4,0.08084838,0.08,nc,nc71996906,2015-12-23T07:06:59.260Z,"10km WNW of Greenville, California",earthquake,0.3,0.7,,5,reviewed,nc,nc
2005-07-26T04:08:37.160Z,2005,7,26,4,45.365,-112.615,us,Montana,Beaverhead County,12.9,5.6,mwc,458,25.7,,0.74,us,usp000dvxx,2016-11-10T01:09:16.516Z,western Montana,earthquake,,,,,reviewed,us,hrv
2012-02-13T21:07:02.770Z,2012,2,13,21,41.143,-123.79,us,California,Humboldt County,28.2,5.6,mwr,526,23.1,,,us,usp000jewr,2015-01-28T03:48:26.041Z,Northern California,earthquake,,,,,reviewed,nc,brk
2008-07-29T18:42:15.670Z,2008,7,29,18,33.9485,-117.7663333,us,California,San Bernardino County,15.503,5.44,mw,136,17,0.08724,0.3,ci,ci14383980,2016-11-10T01:59:24.120Z,"5km S of Chino Hills, CA",earthquake,0.19,0.52,,6,reviewed,ci,ci
2012-08-26T20:57:58.220Z,2012,8,26,20,33.0185,-115.5403333,us,California,Imperial County,8.283,5.44,mw,47,47,0.0329,0.16,ci,ci15200401,2016-03-11T03:21:21.682Z,"4km NNW of Brawley, CA",earthquake,0.3,0.66,,6,reviewed,ci,ci
2010-07-07T23:53:33.480Z,2010,7,7,23,33.4173333,-116.4746667,us,California,San Diego County,12.318,5.43,mw,112,19,0.09786,0.23,ci,ci10736069,2016-11-10T02:30:29.077Z,"20km NNW of Borrego Springs, CA",earthquake,0.16,0.35,,6,reviewed,ci,ci
2004-09-18T23:02:18.400Z,2004,9,18,23,37.9973333,-118.6796667,us,California,Mono County,3.65,5.42,mw,10,211,0.2936,0.11,ci,ci14091792,2016-11-10T00:46:16.065Z,"48km NNE of Mammoth Lakes, California",earthquake,1.04,14.07,,7,reviewed,ci,ci
2007-02-26T12:19:54.480Z,2007,2,26,12,40.643,-124.866,us,California,Humboldt County,0,5.4,mwc,222,115.7,,,us,usp000f5ph,2016-11-10T01:36:14.280Z,offshore Northern California,earthquake,,,,,reviewed,nc,gcmt
2007-02-26T12:21:02.140Z,2007,2,26,12,40.642,-124.87,us,California,Humboldt County,4.957,5.4,mh,21,329,,69.32,ci,ci10233309,2016-03-09T08:10:39.568Z,"52km W of Ferndale, CA",earthquake,99,31.61,,0,reviewed,ci,ci
2008-04-30T03:03:06.900Z,2008,4,30,3,40.836,-123.497,us,California,Trinity County,29.1,5.4,mwc,404,53.4,,,us,usp000g559,2016-11-10T01:55:25.527Z,Northern California,earthquake,,,,,reviewed,nc,gcmt
2004-09-18T23:43:48.140Z,2004,9,18,23,37.5709991,-118.879837,us,California,Mono County,5.289,5.34,mw,101,124,0.06856,0.13,ci,ci14091884,2016-11-10T00:46:16.561Z,"11km SE of Mammoth Lakes, California",earthquake,8.43,14.14,,6,automatic,ci,ci
2012-08-26T19:31:23.040Z,2012,8,26,19,33.0171667,-115.5536667,us,California,Imperial County,8.323,5.32,mw,56,73,0.03163,0.21,ci,ci15199681,2016-03-11T03:21:14.648Z,"5km NNW of Brawley, CA",earthquake,0.32,0.72,,6,reviewed,ci,ci
2001-04-21T17:18:56.950Z,2001,4,21,17,42.925,-111.395,us,Idaho,Caribou County,0.8,5.3,mwc,298,,,,us,usp000adrg,2016-11-09T22:20:59.089Z,southern Idaho,earthquake,,,,,reviewed,slc,hrv
2002-04-20T10:50:47.450Z,2002,4,20,10,44.5123333,-73.6973333,us,New York,Clinton County,4.83,5.3,mlg,11,91,0.3375,0.18,ld,ld2002042000,2016-11-09T22:20:34.619Z,New York,earthquake,0.5,1.73,,,reviewed,ld,ld
2002-06-17T16:55:07.440Z,2002,6,17,16,40.828,-124.604,us,California,Humboldt County,22,5.3,mwc,246,,,,us,usp000b6bw,2016-11-09T22:46:44.555Z,offshore Northern California,earthquake,,,,,reviewed,nc,hrv
2011-08-23T05:46:18.250Z,2011,8,23,5,37.063,-104.701,us,Colorado,Las Animas County,4,5.3,mwr,187,26,,0.98,us,usp000j6wm,2016-02-10T19:41:31.035Z,Colorado,earthquake,,1.8,,,reviewed,us,us
2012-10-21T06:55:09.930Z,2012,10,21,6,36.3241667,-120.8466667,us,California,Monterey County,15.426,5.3,mh,20,88,0.2588,0.55,ci,ci15233041,2016-03-11T23:47:03.715Z,"28km ENE of King City, CA",earthquake,1.35,4.86,,0,reviewed,ci,ci
2014-06-29T04:59:35.390Z,2014,6,29,4,32.5822,-109.1682,us,Arizona,Greenlee County,6.44,5.3,mww,,54,1.169,0.69,us,usc000rnfe,2016-01-22T03:18:37.433Z,"50km WNW of Lordsburg, New Mexico",earthquake,,3.3,,,reviewed,us,us
2015-05-22T18:47:42.980Z,2015,5,22,18,37.2925,-114.6546,us,Nevada,Lincoln County,4.0328,5.27,ml,32,109.36,0.335,0.159,nn,nn00495477,2016-03-11T21:18:19.687Z,"37km SSW of Caliente, Nevada",earthquake,2.5866,1.8631,0.22,11,reviewed,nn,nn
2001-08-10T20:19:26.600Z,2001,8,10,20,39.823,-120.646,us,California,Plumas County,17.8,5.2,mwc,146,,,,us,usp000am6r,2016-11-09T23:12:14.640Z,Northern California,earthquake,,,,,reviewed,ren,hrv
